User,Precision,Recall,F1-Score,Support
user01,0.99,1.00,1.00,172
user02,0.99,0.99,0.99,179
user03,0.97,0.92,0.95,199
user04,0.93,0.99,0.96,168
user05,0.98,0.97,0.97,174
user06,1.00,0.90,0.95,175
user07,1.00,0.96,0.98,134
user08,0.88,0.99,0.93,150
user09,1.00,0.92,0.96,185
user10,0.99,1.00,0.99,167
user11,0.99,0.98,0.99,175
user12,0.93,0.99,0.96,191
user13,0.99,0.97,0.98,159
user14,1.00,0.91,0.95,179
user16,1.00,0.89,0.94,170
user17,1.00,0.91,0.95,185
user18,1.00,0.80,0.89,176
user19,0.83,1.00,0.91,200
user21,0.98,0.98,0.98,168
user22,0.98,0.97,0.97,170
user23,0.99,0.88,0.93,183
user24,0.91,1.00,0.95,176
user25,1.00,0.97,0.98,168
user26,0.94,0.99,0.97,140
user27,0.99,0.99,0.99,161
user28,0.81,0.99,0.89,174
user29,1.00,0.92,0.96,189
user30,1.00,0.97,0.98,143
user31,0.99,0.98,0.98,163
user32,0.96,0.98,0.97,166
user33,0.93,0.99,0.96,156
user34,0.98,0.99,0.99,179
user35,1.00,0.95,0.97,173
user36,1.00,0.99,0.99,174
user37,0.99,0.98,0.99,179
user38,0.95,0.93,0.94,169
user39,0.99,0.96,0.97,164
user40,0.99,0.98,0.99,172
user41,0.98,0.99,0.99,180
user42,0.99,0.96,0.98,168
user43,0.99,0.97,0.98,163
user44,0.96,0.94,0.95,159
user45,0.96,1.00,0.98,174
user46,0.96,0.99,0.97,155
user47,0.91,1.00,0.95,166
user48,0.92,0.99,0.96,171
user49,0.94,0.99,0.96,176
user50,0.92,0.99,0.96,167
user51,1.00,0.98,0.99,162
user52,0.99,0.96,0.97,176